theme_id,n_comments,n_actors,gini_actors,hhi
T08,48,30,0.28194444444444433,0.046
T01,19,15,0.15438596491228074,0.0748
T18,12,11,0.07575757575757591,0.0972
T07,8,7,0.1071428571428572,0.1562
T03,7,6,0.11904761904761907,0.1837
T10,6,5,0.1333333333333333,0.2222
T13,6,6,0.0,0.1667
T12,5,4,0.1499999999999999,0.28
T19,4,3,0.16666666666666674,0.375
T06,3,2,0.16666666666666674,0.5556
T11,3,3,0.0,0.3333
T02,1,1,0.0,1.0
T04,1,1,0.0,1.0
T05,1,1,0.0,1.0
T15,1,1,0.0,1.0
T17,1,1,0.0,1.0
