author,n_comments,n_themes,entropy,gini,top_theme,stakeholder_institution
TMerlini,129,10,2.5438791992396137,0.6208010335917313,T04,Independent
SamWilsn,128,9,1.9472876486250483,0.7513020833333335,T02,Independent
abcoathup,86,8,2.3334085541926552,0.6763565891472869,T02,Independent
Bakugo32,80,11,2.9878754146415796,0.4812500000000002,T01,Independent
pablocactus,65,11,3.3151176682714563,0.2782051282051283,T01,Independent
Damonzwicker,54,7,2.1148101901821468,0.7191358024691359,T04,Independent
ThoughtProof,53,10,3.1463233274277793,0.39465408805031443,T04,Independent
Cybercentry,41,6,1.5593726559259702,0.7987804878048781,T04,Independent
Nicopat,39,9,2.475454140940647,0.6217948717948718,T04,Independent
JimmyShi22,34,7,2.3531132262289263,0.6568627450980393,T06,Independent
nxt3d,30,5,1.6043855712075719,0.8,T04,Independent
JackyWang,29,9,2.8714416684228548,0.514367816091954,T04,Independent
jochem-brouwer,28,7,2.173169179549125,0.7023809523809526,T02,Independent
babyblueviper1,26,5,2.1550239693955526,0.6923076923076923,T04,Independent
VincentWu,24,6,1.6368421881310116,0.7847222222222223,T04,Independent
KBryan,22,5,1.8400837592991008,0.7651515151515151,T04,Independent
cmayorga,22,8,2.811037868342279,0.5151515151515151,T06,Independent
RNWY,18,7,2.6416041678685938,0.5648148148148149,T01,Independent
xinbenlv,17,5,1.8751310486364097,0.7598039215686274,T04,Independent
Copilot,16,4,1.5919171866886994,0.8020833333333335,T04,Independent
Aboudjem,16,8,2.9056390622295662,0.4583333333333335,T04,Independent
xrqin,15,6,2.063458298648303,0.7166666666666668,T04,Independent
mike-diamond,12,5,2.054585169337799,0.7222222222222223,T04,Independent
0xvimer,12,4,1.887918502671133,0.7361111111111112,T04,Independent
jonmross,12,5,2.1887218755408675,0.6805555555555556,T02,Independent
Panini,12,4,1.7841591278514217,0.7638888888888891,T03,Independent
ibonon,11,5,2.0403733936884962,0.7196969696969697,T04,Independent
Marco-MetaMask,11,6,2.481714572986073,0.5984848484848486,T04,MetaMask
miratisu,10,7,2.6464393446710157,0.55,T07,Independent
phiraml,9,4,1.8910611120726528,0.7314814814814816,T01,Independent
pcarranzav,8,3,1.2987949406953987,0.8333333333333335,T04,Independent
bransdotcom,8,5,2.25,0.6458333333333335,T01,Independent
davidecrapis.eth,8,5,2.1556390622295662,0.6875,T08,Independent
mrocker,8,6,2.5,0.5833333333333335,T02,Independent
TruthAnchor-AI,7,2,0.5916727785823274,0.892857142857143,T02,Independent
mlegls,7,4,1.8423709931771086,0.75,T04,Independent
nftprof,6,1,0.0,0.9166666666666667,T04,Independent
ryanio,6,5,2.251629167387823,0.6388888888888891,T02,Independent
deiu,6,4,1.7924812503605783,0.75,T04,Independent
michaelwinczuk,6,5,2.2516291673878226,0.6388888888888891,T09,Independent
cadenceprotocol,6,2,0.9182958340544894,0.8611111111111112,T04,Independent
Traciecmyers,6,4,1.9182958340544896,0.7222222222222223,T02,Independent
Ludovico.r,6,3,1.459147917027245,0.8055555555555556,T04,Independent
cody,5,2,0.7219280948873623,0.8833333333333333,T04,Ethereum Foundation
SumeetChougule,5,5,2.3219280948873626,0.5833333333333335,T01,Independent
clawplaza,5,3,1.5219280948873626,0.7833333333333334,T06,Independent
clavote-boop,5,2,0.9709505944546688,0.8500000000000001,T04,Independent
felixnorden,5,3,1.370950594454669,0.8166666666666667,T08,Independent
dcrapis,5,4,1.9219280948873625,0.7166666666666668,T02,Independent
spengrah,5,3,1.370950594454669,0.8166666666666667,T08,Independent
wangbin9953,5,4,1.9219280948873625,0.7166666666666668,T04,Independent
wscdcm,5,2,0.7219280948873623,0.8833333333333333,T04,Independent
Clavote,5,2,0.7219280948873623,0.8833333333333333,T04,Independent
system,5,3,1.5219280948873626,0.7833333333333334,T01,Independent
xhronos444,5,3,1.370950594454669,0.8166666666666667,T04,Independent
douglasborthwick-cry,4,2,0.8112781244591328,0.875,T04,Independent
brienteth,4,2,0.8112781244591328,0.875,T04,Independent
jkm.eth,4,3,1.5,0.7916666666666667,T02,Independent
ten-io-meta,4,3,1.5,0.7916666666666667,T01,Meta
azanux,4,3,1.5,0.7916666666666667,T01,Independent
kimbo128,4,4,2.0,0.6666666666666667,T02,Independent
pipavlo82,4,2,0.8112781244591328,0.875,T12,Independent
Trishir,4,4,2.0,0.6666666666666667,T04,Independent
debug-0,4,1,0.0,0.9166666666666667,T09,Independent
MarcoMetaMask,4,3,1.5,0.7916666666666667,T02,MetaMask
damonzwicker,4,2,0.8112781244591328,0.875,T02,Independent
ziemen4,3,2,0.9182958340544894,0.8611111111111112,T04,Independent
craigbranscom,3,2,0.9182958340544894,0.8611111111111112,T02,Independent
Cyberpaisa,3,2,0.9182958340544894,0.8611111111111112,T08,Independent
beau,3,1,0.0,0.9166666666666667,T03,Independent
nicobernad,3,2,0.9182958340544894,0.8611111111111112,T01,Independent
assaylabs,3,2,0.9182958340544894,0.8611111111111112,T03,Independent
vincentcaptain,3,3,1.584962500721156,0.75,T02,Independent
gilbertsahumada,3,2,0.9182958340544894,0.8611111111111112,T03,Independent
thamerdridi,3,1,0.0,0.9166666666666667,T04,Independent
lightclient,3,2,0.9182958340544894,0.8611111111111112,T02,Independent
matevz-oasis,3,3,1.584962500721156,0.75,T02,Independent
zonu,3,1,0.0,0.9166666666666667,T04,Independent
voidcenter,2,2,1.0,0.8333333333333335,T03,Independent
douglasborthwick-crypto,2,2,1.0,0.8333333333333335,T06,Independent
opwizardx,2,1,0.0,0.9166666666666667,T04,Independent
denverbaumgartner,2,2,1.0,0.8333333333333335,T02,Independent
weedeej,2,1,0.0,0.9166666666666667,T03,Independent
gpt3_eth,2,2,1.0,0.8333333333333335,T04,Independent
qinwang-git,2,1,0.0,0.9166666666666667,T04,Independent
zexoverz,2,2,1.0,0.8333333333333335,T03,Independent
maceip,2,1,0.0,0.9166666666666667,T08,Independent
orgtrust.eth,2,2,1.0,0.8333333333333335,T02,Independent
drmattbarney,2,2,1.0,0.8333333333333335,T01,Independent
Moshiii,2,2,1.0,0.8333333333333335,T01,Independent
Fran23,2,2,1.0,0.8333333333333335,T01,Independent
Nithin-Varma,2,2,1.0,0.8333333333333335,T01,Independent
Zhesima,2,1,0.0,0.9166666666666667,T09,Independent
MidnightLightning,2,2,1.0,0.8333333333333335,T04,Independent
aurous37-lang,2,2,1.0,0.8333333333333335,T03,Independent
Brooks1003,2,2,1.0,0.8333333333333335,T04,Independent
daniel-ospina,2,2,1.0,0.8333333333333335,T04,Independent
Metanize,2,1,0.0,0.9166666666666667,T03,Independent
HermesSubstrate,2,1,0.0,0.9166666666666667,T08,Independent
agentauditAI,2,1,0.0,0.9166666666666667,T04,Independent
sterlingcrispin,1,1,0.0,0.9166666666666667,T04,Independent
Eth,1,1,0.0,0.9166666666666667,T07,Independent
sbacha,1,1,0.0,0.9166666666666667,T08,Independent
soispoke,1,1,0.0,0.9166666666666667,T08,Independent
smolfren,1,1,0.0,0.9166666666666667,T04,Independent
skilesare,1,1,0.0,0.9166666666666667,T08,Independent
sebastianwall,1,1,0.0,0.9166666666666667,T04,Independent
dcbuild3r,1,1,0.0,0.9166666666666667,T04,Independent
sarkazein,1,1,0.0,0.9166666666666667,T09,Independent
DerDoPhil,1,1,0.0,0.9166666666666667,T03,Independent
sariknanaki,1,1,0.0,0.9166666666666667,T12,Independent
Frank122480,1,1,0.0,0.9166666666666667,T08,Independent
ryanberckmans,1,1,0.0,0.9166666666666667,T03,Independent
riza,1,1,0.0,0.9166666666666667,T04,Independent
rithikha,1,1,0.0,0.9166666666666667,T09,Independent
GerardoTaboada,1,1,0.0,0.9166666666666667,T09,Independent
GhostAgent,1,1,0.0,0.9166666666666667,T03,Independent
HElloodjfbfssadfed,1,1,0.0,0.9166666666666667,T07,Independent
tantodefi,1,1,0.0,0.9166666666666667,T03,Independent
theagora,1,1,0.0,0.9166666666666667,T03,Independent
termixai,1,1,0.0,0.9166666666666667,T01,Independent
CodySearsOS,1,1,0.0,0.9166666666666667,T02,Independent
Ankita.eth,1,1,0.0,0.9166666666666667,T03,Independent
Arifa,1,1,0.0,0.9166666666666667,T06,Independent
zaryab2000,1,1,0.0,0.9166666666666667,T03,Independent
yehia67,1,1,0.0,0.9166666666666667,T04,Independent
BitmineMarine,1,1,0.0,0.9166666666666667,T08,Independent
xrow,1,1,0.0,0.9166666666666667,T03,Independent
xiaowh7,1,1,0.0,0.9166666666666667,T01,Independent
CertifiedCryp,1,1,0.0,0.9166666666666667,T03,Independent
Cloriskitty,1,1,0.0,0.9166666666666667,T03,Independent
wjmelements,1,1,0.0,0.9166666666666667,T04,Independent
CypherVae,1,1,0.0,0.9166666666666667,T03,Independent
Delaube923,1,1,0.0,0.9166666666666667,T06,Independent
wanderosity,1,1,0.0,0.9166666666666667,T03,Independent
DanielVF,1,1,0.0,0.9166666666666667,T06,Independent
vkpatva,1,1,0.0,0.9166666666666667,T06,Independent
vishwa-network,1,1,0.0,0.9166666666666667,T06,Independent
Dawe000,1,1,0.0,0.9166666666666667,T04,Independent
tunnckoCore,1,1,0.0,0.9166666666666667,T03,Independent
treza-labs,1,1,0.0,0.9166666666666667,T08,Independent
tokmakoff,1,1,0.0,0.9166666666666667,T03,Independent
tim-cotten,1,1,0.0,0.9166666666666667,T10,Independent
thom-nagel,1,1,0.0,0.9166666666666667,T02,Independent
peersky,1,1,0.0,0.9166666666666667,T08,Independent
nuhgid,1,1,0.0,0.9166666666666667,T08,Independent
JhiNResH,1,1,0.0,0.9166666666666667,T06,Independent
McOso,1,1,0.0,0.9166666666666667,T04,Independent
kgyashupal,1,1,0.0,0.9166666666666667,T04,Independent
kevzzsk,1,1,0.0,0.9166666666666667,T04,Independent
jqhc,1,1,0.0,0.9166666666666667,T08,Independent
Walodja1987,1,1,0.0,0.9166666666666667,T01,Independent
joanna,1,1,0.0,0.9166666666666667,T04,Independent
jithinraj,1,1,0.0,0.9166666666666667,T04,Independent
jdutreve,1,1,0.0,0.9166666666666667,T08,Independent
alexchenai,1,1,0.0,0.9166666666666667,T04,Independent
hjs_foundation,1,1,0.0,0.9166666666666667,T08,Independent
alftom,1,1,0.0,0.9166666666666667,T08,Independent
ant,1,1,0.0,0.9166666666666667,T05,Independent
fulldecent,1,1,0.0,0.9166666666666667,T02,Independent
freaks,1,1,0.0,0.9166666666666667,T04,Independent
arnieleibnichts,1,1,0.0,0.9166666666666667,T04,Independent
ernestognw,1,1,0.0,0.9166666666666667,T04,Independent
blackalbino01,1,1,0.0,0.9166666666666667,T08,Independent
blambuer10,1,1,0.0,0.9166666666666667,T04,Independent
dievardump,1,1,0.0,0.9166666666666667,T02,Independent
bomanaps,1,1,0.0,0.9166666666666667,T01,Independent
