theme_id,label,erc8004_actors,a2a_actors,erc8004_pct,a2a_pct,abs_diff
T01_Technical,,190,667,95.0,91.1,3.9000000000000057
T02_Process,,50,206,25.0,28.1,3.1000000000000014
T04_Economic,,6,5,3.0,0.7,2.3
T05_Off_topic,,2,13,1.0,1.8,0.8
T03_Governance,,12,47,6.0,6.4,0.40000000000000036
