theme_id,n_comments,n_actors,gini_actors,hhi
T01_Technical,2847,667,0.6662885627786739,0.017
T02_Process,868,206,0.6779450583866493,0.0525
T03_Governance,71,47,0.2822894815702728,0.0335
T05_Off_topic,17,13,0.20814479638009065,0.1073
T04_Economic,5,5,0.0,0.2
