actor_a,actor_b,weight,shared
AlokRanjanSwain,FoolishDreamer,1,1
AlokRanjanSwain,GeunCheolOh,1,1
AlokRanjanSwain,MaoJianwei,1,1
AlokRanjanSwain,abdibrokhim,1,1
AlokRanjanSwain,arislan-lilo,1,1
AlokRanjanSwain,bkowal,1,1
AlokRanjanSwain,bparees,1,1
AlokRanjanSwain,buithehai1994,1,1
AlokRanjanSwain,dukeren,1,1
AlokRanjanSwain,hamidra,1,1
AlokRanjanSwain,justfalter,1,1
AlokRanjanSwain,liar666,1,1
AlokRanjanSwain,lrosenthol,1,1
AlokRanjanSwain,mbleigh,1,1
AlokRanjanSwain,vladkol,1,1
AlokRanjanSwain,wenwenc9,1,1
AlokRanjanSwain,xiongwenxin123,1,1
AlokRanjanSwain,ysxu666,1,1
Areo-Joe,FoolishDreamer,1,1
Areo-Joe,GeunCheolOh,1,1
Areo-Joe,MaoJianwei,1,1
Areo-Joe,abdibrokhim,1,1
Areo-Joe,arislan-lilo,1,1
Areo-Joe,bkowal,1,1
Areo-Joe,bparees,1,1
Areo-Joe,buithehai1994,1,1
Areo-Joe,dukeren,1,1
Areo-Joe,hamidra,1,1
Areo-Joe,justfalter,1,1
Areo-Joe,liar666,1,1
Areo-Joe,lrosenthol,1,1
Areo-Joe,mbleigh,1,1
Areo-Joe,vladkol,1,1
Areo-Joe,wenwenc9,1,1
Areo-Joe,xiongwenxin123,1,1
Areo-Joe,ysxu666,1,1
AshuJoshi,FoolishDreamer,1,1
AshuJoshi,GeunCheolOh,1,1
AshuJoshi,MaoJianwei,1,1
AshuJoshi,abdibrokhim,1,1
AshuJoshi,arislan-lilo,1,1
AshuJoshi,bkowal,1,1
AshuJoshi,bparees,1,1
AshuJoshi,buithehai1994,1,1
AshuJoshi,dukeren,1,1
AshuJoshi,hamidra,1,1
AshuJoshi,justfalter,1,1
AshuJoshi,liar666,1,1
AshuJoshi,lrosenthol,1,1
AshuJoshi,mbleigh,1,1
AshuJoshi,vladkol,1,1
AshuJoshi,wenwenc9,1,1
AshuJoshi,xiongwenxin123,1,1
AshuJoshi,ysxu666,1,1
Bill-XU,FoolishDreamer,1,1
Bill-XU,GeunCheolOh,1,1
Bill-XU,MaoJianwei,1,1
Bill-XU,abdibrokhim,1,1
Bill-XU,arislan-lilo,1,1
Bill-XU,bkowal,1,1
Bill-XU,bparees,1,1
Bill-XU,buithehai1994,1,1
Bill-XU,dukeren,1,1
Bill-XU,hamidra,1,1
Bill-XU,justfalter,1,1
Bill-XU,liar666,1,1
Bill-XU,lrosenthol,1,1
Bill-XU,mbleigh,1,1
Bill-XU,vladkol,1,1
Bill-XU,wenwenc9,1,1
Bill-XU,xiongwenxin123,1,1
Bill-XU,ysxu666,1,1
Boburmirzo,FoolishDreamer,1,1
Boburmirzo,GeunCheolOh,1,1
Boburmirzo,MaoJianwei,1,1
Boburmirzo,abdibrokhim,1,1
Boburmirzo,arislan-lilo,1,1
Boburmirzo,bkowal,1,1
Boburmirzo,bparees,1,1
Boburmirzo,buithehai1994,1,1
Boburmirzo,dukeren,1,1
Boburmirzo,hamidra,1,1
Boburmirzo,justfalter,1,1
Boburmirzo,liar666,1,1
Boburmirzo,lrosenthol,1,1
Boburmirzo,mbleigh,1,1
Boburmirzo,vladkol,1,1
Boburmirzo,wenwenc9,1,1
