theme_id,n_comments,n_actors,gini_actors,hhi
T04,446,105,0.5996583386717915,0.0345
T02,238,54,0.616557734204793,0.113
T06,169,45,0.590138067061144,0.0855
T03,137,63,0.434943807206581,0.0431
T01,117,45,0.4683760683760685,0.0566
T08,103,54,0.3500539374325782,0.0325
T12,70,25,0.5074285714285713,0.0963
T09,48,28,0.2723214285714284,0.0469
T05,46,22,0.365612648221344,0.0718
T07,46,23,0.3931947069943289,0.0803
T11,4,3,0.16666666666666674,0.375
T10,3,3,0.0,0.3333
