author,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12
meguminnnnnnnnn,0,0,0,0,0,2,0,0,0,0,0,0
melvinjlobos,0,0,1,0,0,0,0,0,0,0,0,0
mempirate,0,0,0,1,0,0,0,0,0,0,0,0
mescaja,0,1,0,0,0,0,0,0,0,0,0,0
michelschep,0,1,2,0,0,1,0,0,0,0,0,0
mihaimaruseac,0,1,1,0,0,0,0,3,0,0,0,0
mikeas1,7,26,4,11,0,12,2,11,4,0,1,1
mikeedjones,0,1,0,0,0,0,0,0,0,0,0,0
mikeromano38,1,0,0,0,0,0,0,0,0,0,0,0
mikesir87,0,1,0,0,0,0,0,0,0,0,0,0
mikestaub,0,0,0,0,0,0,0,0,0,1,0,0
mikumifa,0,1,3,0,0,0,0,0,0,0,0,0
mindpower,0,0,0,1,0,2,1,0,0,1,0,0
mjunaidca,0,0,0,1,0,0,1,0,0,0,0,0
mkschreder,0,1,0,0,0,0,0,0,0,0,0,0
moonbox3,3,2,5,0,2,7,1,0,0,1,0,0
mprynce,0,0,1,0,0,0,0,1,0,0,0,0
mrorigo,1,0,0,0,0,0,1,0,0,0,0,0
msardara,0,0,0,2,0,0,1,0,1,0,0,0
mskadu,0,1,0,0,0,0,0,0,0,0,0,0
mting806,0,0,0,0,0,0,1,0,0,0,0,0
mukteshkrmishra,2,0,0,0,0,0,0,0,0,0,0,0
muscariello,10,17,0,4,1,2,0,1,6,0,0,0
muthub-ai,0,0,1,1,0,1,0,0,0,0,0,0
mvakoc,0,2,2,0,0,0,0,0,0,0,0,0
mycosavant,0,0,1,0,0,0,0,0,0,0,0,0
n1lanjan,0,1,0,0,0,0,0,0,0,0,0,0
nahapetyan-serob,0,1,0,0,0,0,0,0,0,0,0,0
nandrews729,0,1,0,0,0,0,0,0,0,0,0,0
needcoder,0,0,0,1,0,0,0,0,0,0,0,0
nembal,0,0,0,0,0,0,0,1,0,0,0,0
nerunja,0,0,0,0,0,0,0,1,0,0,0,0
nextpulse,0,1,0,0,0,0,0,0,0,0,0,0
nicholasbreckwoldt,0,0,1,0,0,0,0,0,0,0,0,0
nickossdev,0,0,1,0,0,0,0,0,0,0,1,0
nidhi-pathak,0,0,0,0,0,0,0,0,1,0,0,0
niguowei44,0,0,0,0,0,0,1,0,0,0,3,0
nikhilmaddirala,0,0,0,0,0,1,0,0,0,0,0,0
nithin-nk,0,0,2,0,0,0,0,0,0,0,0,0
nitin737,0,1,0,0,0,0,0,0,0,0,0,0
no7dw,0,0,0,0,0,0,0,1,0,0,0,0
nvcnvn,0,0,0,1,0,0,0,0,0,0,0,0
oabdelkarim,0,0,0,1,0,0,0,0,0,0,0,0
ognis1205,17,40,53,12,2,15,0,6,0,0,0,0
olileger,0,0,1,0,0,0,0,0,0,0,0,0
oliverlabs,4,4,1,0,0,2,0,0,0,0,0,0
omkar-12bits,0,0,2,0,0,0,0,0,0,0,0,0
one-kash,0,0,0,0,0,0,0,1,0,0,0,0
oopslink,0,2,1,0,0,0,0,0,0,0,0,0
openaitx-system,0,1,0,0,0,0,0,0,0,0,0,0
ossfellow,0,0,1,0,0,0,0,0,0,0,0,0
pab1it0,0,0,1,0,0,0,0,0,0,0,0,0
palladius,0,3,0,0,0,0,0,1,0,1,0,0
paparth,1,0,0,0,0,0,0,0,0,0,0,0
pascal910107,0,0,0,0,1,0,1,1,0,0,0,0
patwhite,3,2,0,1,1,1,0,2,0,0,0,0
patwlan,0,1,1,1,0,0,0,0,0,0,0,0
pauldotknopf,0,0,0,1,0,0,0,0,0,0,0,0
pausanchez,0,0,1,0,0,0,0,0,0,0,0,0
pavankumarleo,0,0,1,0,0,0,0,0,0,0,0,0
pavelgj,0,1,0,0,0,0,0,0,0,0,0,0
pcingola,0,0,0,0,0,2,0,0,0,0,0,0
pcuci,0,0,0,1,0,0,0,0,0,0,0,0
perfectspr,0,0,0,0,0,1,0,0,0,0,0,0
peterwang2013,0,0,1,0,0,1,0,0,0,0,0,0
phillipgibson,0,1,0,0,0,0,0,0,0,0,0,0
pilartomas,0,1,0,0,0,0,0,0,0,0,0,0
pinchwork,0,0,1,0,0,0,0,0,1,0,0,0
pointhalo,0,1,0,0,0,0,0,0,0,0,0,0
postbird,0,1,0,0,0,0,0,0,0,0,0,0
powmax-commits,0,3,0,0,1,0,0,0,0,0,0,0
ppattanayak,0,0,0,1,0,0,0,0,0,0,0,0
prashubk,0,1,0,0,0,0,0,0,0,0,0,0
prassanna-ravishankar,0,0,1,0,0,0,0,0,0,0,0,0
princejha95,1,1,0,0,1,6,1,1,0,0,1,0
priyankjecrc,0,0,0,0,0,2,0,0,0,0,0,0
prokolyvakis,0,1,0,0,0,0,0,0,0,0,0,0
promptrotator,0,1,1,0,0,0,0,0,0,0,1,0
prosa21,0,1,0,0,0,0,0,0,0,0,0,0
pstephengoogle,3,24,9,11,4,21,3,5,6,1,4,0
pszjmb1,0,0,0,0,0,0,0,1,0,0,0,0
ptiper,0,3,0,0,0,0,0,0,0,0,0,0
puchengy,0,0,1,0,0,0,0,0,0,0,0,0
punkyoon,0,0,0,1,0,0,0,0,0,0,0,0
pvlasov,0,1,0,0,0,0,0,0,0,0,0,0
pwwpche,2,0,0,1,0,2,0,1,0,0,0,0
qiansuo1,0,1,0,0,0,0,0,0,0,0,0,0
qingyun-wu,0,0,1,0,0,0,0,0,0,1,0,0
questflow-kyle,0,1,0,0,0,0,0,0,0,0,0,0
r3motecontrol,0,0,0,0,0,1,0,0,0,0,0,0
ragaoua,0,0,0,0,0,0,0,1,0,0,0,0
rajeshvelicheti,2,10,1,2,3,6,3,1,2,1,5,0
rajhanshdhami,1,0,1,0,0,1,1,0,0,0,0,0
rajib76,0,0,2,0,0,0,0,0,0,0,0,0
raravena80,1,0,0,0,0,0,0,0,0,0,0,0
raveenb,0,0,1,0,0,0,0,0,0,0,0,0
ravneetgrewal,0,0,0,0,0,0,0,1,0,0,0,0
rclayton-godaddy,0,1,0,0,0,0,0,0,0,0,0,0
reatang,0,1,0,0,0,0,0,0,0,0,0,0
rebeccacamejo,0,1,0,0,0,0,0,0,1,0,0,0
rescrv,0,0,1,0,0,0,0,0,0,0,0,0
reskin89,0,1,0,0,0,0,0,0,0,0,0,0
resouer,0,0,0,1,0,0,0,0,0,0,0,0
richard-rance,0,2,0,0,0,0,0,0,0,0,0,0
richardanaya,0,0,0,0,0,0,0,0,0,0,3,0
richgo,0,3,0,0,0,0,0,0,0,0,0,0
ritsuki1227,2,2,0,0,0,0,0,0,0,0,0,0
robert-at-pretension-io,3,3,2,2,4,1,0,5,0,1,0,0
robinmanuelthiel,0,1,0,0,0,0,0,0,0,0,0,0
robomotic,0,0,3,1,0,0,0,3,0,0,0,0
rodrigallardo,0,2,0,0,0,0,0,0,0,0,0,0
rogpeppe,0,1,0,1,0,0,0,0,0,0,0,0
rohit2k21,0,2,1,0,0,0,0,0,0,0,0,0
rokonec,1,0,1,1,0,0,0,0,0,0,0,0
romairi,0,0,1,0,0,0,0,0,0,0,0,0
ronaldpetty,0,1,0,0,0,0,0,0,0,0,0,0
ronantakizawa,0,1,0,0,0,0,0,0,0,0,0,0
rootwarp,0,0,1,0,0,0,0,0,0,0,0,0
rrrodzilla,0,0,0,0,0,1,0,0,0,0,0,0
rsgrewal-aws,0,0,1,0,0,0,0,0,0,0,0,0
rsoika,0,0,0,0,0,0,0,2,0,0,0,0
ruFFaa,1,0,0,0,0,0,0,0,0,0,0,0
ruanspies,0,0,0,0,0,0,0,0,1,0,0,0
rwrz,0,0,1,0,0,0,0,0,0,0,0,0
ryan-szns,0,0,0,0,0,0,0,1,0,0,0,0
sahilcreator07,0,0,1,0,0,0,0,0,0,0,0,0
salqadri,1,1,0,1,0,0,0,0,0,0,0,0
sambhav,0,1,0,0,0,0,0,0,0,0,0,0
samuelemarro,0,1,0,0,0,0,0,0,0,0,0,0
sandangel,0,2,0,0,0,2,0,0,0,0,0,0
sandyskies,0,0,3,1,0,0,0,0,0,0,0,0
sangpire,0,2,0,0,0,0,0,0,0,0,0,0
sanjeevkumar761,0,0,0,1,0,0,0,0,0,0,0,0
satendrakumar,0,2,2,0,0,0,0,0,0,0,0,0
satishkamavaram,0,1,0,0,0,0,0,0,0,0,0,0
scidomino,0,3,0,0,0,0,0,0,0,0,0,0
scvthorsten,0,0,0,0,0,0,0,1,0,0,0,0
sd0ric4,0,0,0,1,0,0,0,0,0,0,0,0
secprog,0,0,1,0,0,0,0,0,0,0,0,0
sepo-eng,1,0,0,0,0,0,0,0,0,0,0,0
sfitts,0,2,3,0,0,1,0,0,0,0,0,0
shaikmoeed,0,0,0,0,2,0,0,0,0,0,0,0
shamblett,0,0,2,0,1,0,0,0,0,0,0,0
shyam-habarakada,0,0,0,1,0,0,0,0,0,0,0,0
siacomuzzi,0,1,1,1,0,1,1,2,0,0,0,1
silverheartshafiq,0,0,0,0,0,0,0,1,0,0,0,0
simarsher220,0,0,0,0,0,0,0,0,1,0,0,0
sing1ee,0,0,4,0,0,1,0,0,0,0,0,0
skyfire-ammar,0,0,1,0,0,0,0,0,0,0,0,0
sms03,0,4,2,0,0,0,0,0,0,0,0,0
sondotpin,1,0,0,0,0,0,0,0,0,0,0,0
spricet,0,5,0,0,0,0,0,0,1,0,0,0
sreanik,0,0,0,0,0,0,0,1,0,0,0,0
sreejit-a,0,1,0,0,0,0,0,0,0,0,0,0
star-gazer111,0,0,1,0,0,0,0,0,0,0,0,0
staverm,0,1,0,0,0,0,0,0,0,0,0,0
steren,0,0,0,0,0,0,0,0,0,0,1,0
stkang90,0,1,0,0,0,0,0,0,0,0,0,0
stojangb,0,1,0,0,0,0,0,0,0,0,0,0
suensky,0,0,0,0,0,1,0,0,0,0,0,0
suforme,0,0,0,0,0,0,0,1,0,0,0,0
sunilp,0,0,1,0,0,0,0,0,0,0,0,0
sunyuhan1998,0,2,0,0,0,0,0,0,0,0,0,0
superjvjkdf,0,0,0,1,0,0,0,0,0,0,0,0
suvedo,0,0,4,0,0,0,1,0,0,0,0,0
swapydapy,4,13,8,1,0,12,6,4,1,0,0,0
swarf00,0,0,0,0,0,0,0,1,0,0,0,0
sxhxliang,0,0,2,0,0,0,0,0,0,0,0,0
syaproj,0,0,2,0,0,0,0,0,0,0,0,0
syllogismos,0,3,1,0,0,0,0,1,0,0,2,0
syumpx,0,1,1,0,0,0,0,0,0,0,0,0
takassh,0,1,0,0,0,0,0,0,0,0,0,0
tanemaki,0,3,0,0,0,0,0,0,0,0,0,0
tangpingqingwa,0,0,0,0,1,0,0,0,0,0,0,0
tanveer-builds,0,0,0,0,0,0,0,0,0,0,2,0
taosher,0,0,0,1,0,0,0,0,0,0,0,0
tatanka1212,1,0,1,0,0,1,0,0,0,0,0,0
thebenignhacker,0,1,0,0,0,0,0,3,0,0,0,0
theosp,0,0,1,0,0,0,0,0,0,0,0,0
thestupd,0,0,1,0,0,0,0,0,0,0,0,0
thisisnotapril,1,3,0,0,0,0,0,0,0,0,0,0
tiswanso,0,0,0,0,0,2,1,0,0,0,0,0
tobiasopdenbrouw,0,0,0,1,0,0,0,0,0,0,0,0
tomasdev,0,0,0,0,0,0,0,1,0,0,0,0
tomkis,0,1,0,0,0,1,0,0,0,0,0,0
tomsun28,0,1,2,1,0,0,0,0,0,0,0,0
tonycai,0,0,2,0,0,0,0,0,0,0,0,0
torrmal,0,0,1,0,0,0,0,0,0,0,0,0
tot-ra,0,0,2,0,0,0,0,0,0,0,0,0
trssantos,0,1,0,0,0,0,0,0,0,0,0,0
tucnak,0,0,0,0,0,2,0,0,0,0,0,0
tunnckoCore,0,0,0,1,0,0,0,0,0,0,0,0
tymorton,0,0,0,0,0,0,0,1,0,0,0,0
uestcbraid,0,1,0,0,0,0,0,0,0,0,0,0
ujnak,0,1,0,0,0,0,0,0,0,0,0,0
umariyoob,0,1,0,0,0,0,0,0,0,0,0,0
unizhu,0,1,0,0,0,0,0,0,0,0,0,0
uttej-vsk,0,0,1,0,0,0,0,0,0,0,0,0
vibnimit,0,0,1,0,0,0,0,0,0,0,0,0
vicradon,0,1,0,0,0,0,0,0,0,0,0,0
victordibia,0,0,0,0,0,1,0,0,0,0,0,0
victorinect,0,1,0,0,0,0,0,0,0,0,0,0
vincent-pli,0,1,0,0,0,0,0,0,0,0,0,0
vineethsai,0,0,1,1,0,0,0,0,0,0,0,0
vinoo999,6,13,5,3,0,1,0,0,2,0,0,0
vishalmysore,3,2,25,0,0,5,0,1,0,0,0,0
vizmut-labs,1,1,1,0,0,2,0,0,0,0,0,2
vladislavdonchev,0,1,1,1,0,1,0,0,0,0,0,0
vladkol,0,1,0,0,0,0,0,0,0,0,0,0
voidcenter,0,1,0,0,0,0,0,0,0,0,0,0
volodya-lombrozo,0,1,1,0,0,0,0,0,0,0,0,0
vongosling,0,0,2,0,3,4,0,0,0,0,0,0
vorburger,0,1,0,0,0,0,0,0,0,0,0,0
vvasylkovskyi,0,0,1,0,0,0,0,0,0,0,0,0
wadrzl55333,0,1,0,0,0,0,0,0,0,0,0,0
waitasecant,0,1,0,0,0,0,0,0,0,0,0,0
weiye-Lee,0,0,0,0,0,0,1,0,0,0,0,0
wenwenc9,0,0,1,0,0,0,0,0,0,0,1,0
wenxichen,0,1,0,0,0,0,0,0,0,0,0,0
whitlockjc,0,9,2,0,2,7,1,9,0,0,0,0
whysage,11,4,2,1,0,0,1,1,0,0,0,0
widrss,1,0,1,1,0,0,1,0,0,0,0,0
williamwa,0,0,1,0,0,0,0,0,0,0,0,0
wilsonsilva,0,4,0,0,0,0,0,0,0,0,0,0
wjcwjc77,0,0,0,0,0,1,0,0,0,0,0,0
workkrinal-02,0,0,0,0,0,0,0,1,0,0,0,0
wsandy1,0,1,0,0,0,0,0,0,0,0,0,0
wushubang,0,1,2,0,0,0,0,0,0,0,0,0
x0cipher,0,0,0,1,0,0,0,0,0,0,0,0
xiongwenxin123,0,0,1,0,0,0,0,0,0,1,0,0
xray918,0,0,2,0,0,0,0,0,0,0,0,0
xtrasmal,1,0,0,0,0,4,0,0,0,0,0,0
xtrycatchx,0,0,0,0,0,0,0,1,0,0,0,0
xui-will,0,0,0,0,0,2,1,0,1,0,0,0
y-d-y,0,0,1,0,0,0,0,0,0,0,0,0
y-tabata,0,0,0,1,0,0,0,0,0,0,0,0
yadav,0,1,0,0,0,0,0,0,0,0,0,0
yairyairyair,0,1,0,0,0,0,0,0,0,0,0,0
yangchi,0,1,0,0,0,0,0,0,0,0,0,0
yangyang-yyy,0,1,2,0,0,0,0,0,0,0,1,0
yarolegovich,1,35,0,11,2,2,0,3,4,0,1,0
yaronf,0,0,0,2,0,0,0,0,0,0,0,0
yasonk,0,1,2,0,0,0,0,0,0,0,0,0
ydennisy,0,1,3,0,0,0,0,2,0,0,1,0
yedidel,0,2,0,0,0,0,0,3,0,1,0,0
yichenj,0,0,1,0,0,0,0,0,0,0,0,0
ymmt2005,0,0,0,0,0,1,0,0,0,0,0,0
ysxu666,0,1,0,0,2,0,0,0,0,0,0,0
yu-iskw,0,0,0,0,0,0,0,1,0,0,0,0
yukuanj,0,1,0,0,0,0,0,0,0,0,0,0
yuluo-yx,0,0,1,0,0,0,0,0,0,0,0,0
yuqingzcn,0,0,0,0,0,0,1,0,0,0,0,0
yzhao244,0,4,0,0,0,0,0,0,0,0,0,0
z-a-f,0,0,0,0,0,0,1,0,0,0,0,0
z2z23n0,0,2,0,0,0,0,0,0,0,0,0,0
zamorofthat,0,0,1,0,0,1,0,0,0,0,0,0
zchee,0,1,0,0,0,0,0,0,1,0,0,0
zeroasterisk,5,12,11,4,1,0,2,2,1,3,1,0
zhangjh,0,0,0,0,0,0,0,0,0,0,1,0
zhengleibin,0,0,2,0,0,0,0,0,0,0,0,0
zhenjunMa,0,1,1,0,0,0,1,0,0,0,1,0
zmstone,0,0,0,0,0,1,0,0,0,0,0,0
zomux,0,0,1,0,0,0,0,0,0,0,0,0
zoujie-ee,0,0,0,1,0,0,0,0,2,0,0,0
zzstoatzz,0,0,2,0,1,0,0,0,0,0,0,0
zzxwill,0,1,0,0,0,0,0,2,4,0,0,0
