author,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12
Renator13,0,0,2,0,0,0,0,0,0,0,0,0
ReubenBond,0,1,1,1,0,0,0,1,0,0,0,0
RobinQu,0,0,0,0,0,3,0,0,0,0,0,0
RoyAmitabh,0,0,1,0,0,0,0,0,0,0,0,0
Roye-Wy,0,0,0,1,0,0,0,0,0,0,0,0
RubberGoose246,0,0,0,0,0,0,1,0,1,0,0,0
SecretiveShell,0,0,0,0,0,0,0,1,0,0,0,0
SecureAgentTools,2,0,0,1,0,10,0,1,1,0,0,0
SellJamHere,0,1,0,0,0,0,0,0,0,0,0,0
SergeyMenshykh,0,0,1,1,0,0,0,0,0,0,0,0
ShayakSarkar,0,1,0,0,0,0,0,0,0,0,0,0
SimplyKnownAsG,0,0,1,0,0,0,0,0,0,0,0,0
Starborn,0,0,1,0,0,0,0,0,0,0,0,0
SteveJamesDev,1,0,0,0,0,0,0,0,0,0,0,0
StevenJohnson998,0,0,0,2,0,0,0,0,0,0,0,0
TP9-dev,2,0,0,0,0,0,0,0,0,0,0,0
Tech-AML,0,0,2,0,0,0,0,0,0,0,0,0
Tehsmash,13,34,0,13,3,11,7,8,12,0,1,0
The-Nexus-Guard,0,2,2,3,0,0,0,8,0,0,1,3
ThierryThevenet,0,0,2,3,0,0,0,0,0,0,0,0
ToddSegal,0,7,1,2,0,0,1,2,5,0,0,0
WaqasIshaque1,0,0,2,0,0,0,0,0,0,0,0,0
XiHeee,0,0,0,2,0,0,0,0,0,0,0,0
XiaoTianCan,0,1,0,0,0,0,0,0,0,0,0,0
Yoojkim,0,0,1,0,0,0,0,0,0,0,0,0
Yotaro111,0,0,1,0,0,0,0,0,0,0,0,0
YottaDev07,1,0,0,0,0,0,0,0,0,0,0,0
Yukinekoko,0,1,0,0,0,0,0,0,0,0,0,0
YuqingZhao,0,0,1,0,0,0,0,0,0,0,0,0
ZapzCsgo,0,1,0,0,0,1,0,0,0,0,1,0
Zephyr-Blessed,0,0,2,0,0,0,0,0,0,0,0,0
ZhiLiGod,0,1,0,0,0,0,0,0,0,0,1,0
Zinni98,0,1,0,0,0,0,0,0,0,0,0,0
a2a-bot,0,0,0,0,0,0,0,0,2,0,0,0
aCanalez,0,1,0,0,0,0,0,0,0,0,0,0
aamonten,0,2,0,0,0,0,0,0,0,0,0,0
aazizisoufiane,0,0,1,0,0,0,0,0,0,0,0,0
abdibrokhim,0,2,0,1,0,0,0,0,0,0,0,0
abhinav24jha,0,0,1,0,0,0,0,0,0,0,0,0
abiramit5,0,18,2,2,0,0,0,0,0,0,0,0
acensia,0,3,0,0,0,0,0,0,0,0,0,0
adarshnarayanhegde,0,0,1,3,0,0,0,0,0,0,0,0
adcentury,0,0,0,0,1,0,0,0,0,0,0,0
adsri,1,1,0,0,0,0,0,0,0,0,0,0
adv-11,0,0,0,1,0,0,0,0,0,0,0,0
aeoess,0,0,0,0,0,0,0,3,0,0,0,0
agenttrust,0,0,1,0,0,0,0,0,0,0,0,0
aglicacha,0,1,0,0,0,4,1,1,0,0,0,0
ahoblitz,0,0,1,1,0,0,0,0,0,0,0,0
ai-boost,0,1,10,0,0,1,0,0,1,0,0,0
aiagentexpert,0,0,1,0,0,0,0,0,0,0,0,0
aickin,0,3,1,0,0,0,0,3,0,0,0,0
aimable100,0,0,0,1,0,0,0,1,0,0,0,0
ajaynagotha,3,1,0,1,0,0,0,0,0,0,0,0
ajoslin103,0,0,2,0,0,0,0,0,0,0,0,0
akdong91,0,0,0,1,0,0,0,0,0,0,0,0
akintunca,0,0,2,0,0,0,0,0,0,0,0,0
akshaykokane,0,2,0,0,0,0,0,0,0,0,0,0
alain-sv,0,1,0,0,0,0,0,0,0,0,0,0
alampolee,0,0,1,0,0,0,1,0,0,0,0,0
alan-silverstreams,0,0,2,0,0,0,0,1,0,0,0,0
